SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.5
0,0,0,1,0,0,0,0,1,0,1,0,0,1,388.82
0,1,0,0,0,0,0,0,0,1,1,0,1,1,401.19
1,1,0,0,1,1,1,1,1,1,1,0,0,1,394.29
0,1,0,1,0,0,1,0,1,0,0,0,1,0,388.13
1,1,1,1,0,0,1,0,0,1,1,1,0,1,404.62
1,1,0,1,0,0,0,0,0,1,1,0,1,0,391.82
1,0,0,1,1,1,1,1,0,0,0,0,0,1,396.98
0,0,0,1,0,1,1,1,1,0,0,1,0,1,401.36
1,1,0,0,0,0,1,0,1,1,0,0,1,0,390.91
0,0,0,1,1,1,0,1,1,0,1,0,1,0,390.59
1,1,0,0,1,1,1,1,0,0,1,0,1,1,390.84
0,1,0,1,0,1,0,1,1,1,0,1,0,1,400.62
0,0,1,1,1,0,0,0,0,1,1,1,1,1,400.85
1,0,0,0,1,0,1,1,1,0,0,1,1,0,397.41
0,0,1,1,1,1,1,1,0,0,1,1,0,1,394.83
0,0,1,1,0,0,1,1,1,1,1,0,1,1,389.96
0,1,0,0,1,1,1,0,0,1,1,1,1,1,398.86
1,0,1,0,1,1,0,1,1,0,0,0,0,1,393.6
0,1,1,0,1,0,1,1,0,0,0,0,0,0,390.74
1,0,0,0,0,0,1,1,0,0,0,1,1,0,401.05
1,1,1,1,1,1,1,0,1,0,1,0,0,0,391.31
0,0,0,1,0,1,1,0,1,1,0,0,0,1,392.24
1,0,0,1,1,0,0,1,0,1,1,0,0,0,394.12
1,0,0,1,0,0,1,0,0,0,1,0,1,0,391.78
1,1,1,0,0,1,0,0,0,0,0,1,1,0,399.92
1,1,0,1,1,1,1,0,0,0,1,0,1,1,395.2
1,0,1,1,0,1,0,1,0,1,1,1,1,0,400.02
1,0,1,1,1,0,0,0,1,1,1,1,1,0,396.69
1,0,1,0,0,1,0,0,1,0,1,0,0,0,391.61
0,0,1,0,0,0,1,1,1,1,0,1,1,1,396.21
0,1,1,1,0,1,0,1,1,0,0,0,0,0,403.5
0,0,1,0,0,0,1,1,1,0,1,1,1,1,409.57
0,1,0,0,1,0,0,1,1,0,1,1,0,1,401.04
1,1,1,1,0,1,1,0,1,0,1,1,1,0,398.74
1,1,0,0,1,0,1,1,0,1,1,0,0,1,394.79
1,0,1,1,1,1,0,1,1,1,1,1,1,1,399.3
0,0,1,1,1,0,1,0,1,1,1,1,1,0,396.25
0,1,0,1,1,1,1,1,1,0,1,0,1,1,389.07
0,0,0,0,0,1,1,0,1,1,1,0,1,0,401.25
1,0,0,0,0,0,1,1,0,1,1,0,1,0,387.87
0,0,0,1,0,0,0,0,0,1,0,0,1,1,392.5
1,1,0,1,0,0,1,1,1,0,0,1,1,1,403.0
1,0,0,0,1,1,1,1,0,0,0,1,0,1,398.72
1,0,1,0,1,0,1,1,0,1,0,1,0,0,398.75
1,0,1,0,1,1,0,1,0,1,1,1,0,1,397.94
1,0,1,1,0,0,0,0,1,1,1,1,1,0,399.86
0,0,1,0,1,1,1,0,0,0,0,0,1,0,389.98
0,1,0,1,1,1,1,1,1,1,1,0,1,0,391.03
0,1,0,1,0,0,0,0,0,0,1,0,1,0,387.74
1,0,0,1,0,0,1,1,0,1,1,1,0,1,400.94
0,1,0,0,0,0,0,0,1,1,0,0,0,1,389.9
0,0,1,0,0,1,1,0,1,1,1,1,0,0,401.02
1,0,1,1,0,1,1,1,1,0,0,0,1,1,393.02
0,1,0,0,1,1,1,1,0,0,0,1,1,0,398.11
1,1,0,0,0,0,0,1,1,1,0,1,0,0,406.16
0,0,1,1,0,1,1,1,0,0,0,1,1,0,395.83
1,0,1,0,0,0,1,1,1,0,1,0,0,1,394.72
0,1,1,0,0,1,0,0,0,1,1,0,0,1,394.2
1,1,0,0,0,0,0,0,0,0,0,1,1,1,400.82
1,0,0,1,0,1,0,0,1,0,1,1,0,0,402.33
1,1,1,0,1,0,1,1,0,1,0,0,0,1,394.21
1,1,0,0,1,1,0,1,0,0,0,1,1,1,398.02
1,0,1,1,0,1,1,1,1,1,0,1,0,1,403.77
0,0,0,0,1,0,1,1,1,0,1,0,0,1,389.96
0,1,1,1,0,1,0,1,0,1,1,1,0,1,400.43
0,0,1,0,1,1,0,0,0,0,0,1,1,1,395.84
0,1,0,1,0,1,0,0,1,0,1,1,1,1,397.54
0,1,1,0,0,0,1,1,0,0,0,0,0,1,390.47
0,1,1,1,1,0,1,0,0,0,0,0,0,1,397.74
1,1,1,1,0,1,0,0,1,0,0,1,0,1,400.73
1,0,1,0,0,1,0,1,1,0,1,1,0,0,399.02
1,0,1,0,0,0,0,1,1,0,1,0,1,0,388.94
0,1,1,0,0,1,0,0,1,0,1,0,1,1,387.47
0,0,0,0,0,0,1,0,1,0,1,1,1,0,397.19
0,0,1,0,1,1,1,0,1,0,0,1,0,0,400.35
0,0,1,1,1,0,0,0,1,0,0,1,0,0,397.63
1,0,1,1,1,0,0,1,0,0,1,1,1,0,399.55
0,0,1,0,1,1,0,1,0,1,0,0,1,1,391.71
1,1,0,0,1,0,0,1,1,1,1,0,1,1,388.78
1,1,0,0,1,1,0,1,0,0,0,1,0,1,400.26
1,0,1,1,0,0,0,0,0,1,0,0,1,0,393.04
1,1,0,0,0,1,0,0,1,1,0,0,1,0,387.57
0,1,0,1,1,0,0,0,0,0,0,1,1,0,396.72
1,0,0,1,0,1,0,0,0,0,1,0,0,1,388.21
1,1,1,0,0,1,0,1,1,0,0,0,1,0,389.91
1,0,0,1,0,1,1,0,1,1,1,1,1,1,396.89
1,1,0,1,1,0,1,1,1,1,1,1,1,0,399.75
1,0,0,1,1,1,1,1,0,1,1,0,0,1,388.69
0,0,1,0,1,1,0,0,0,1,0,0,1,0,389.96
1,1,1,1,0,0,0,1,0,0,0,0,0,0,387.41
1,1,1,1,0,0,1,1,0,0,0,0,0,1,388.78
0,1,1,0,0,0,1,1,1,1,0,1,0,1,405.51
0,0,0,1,1,0,1,0,0,0,0,1,1,0,396.66
0,1,0,1,1,0,1,0,1,0,0,0,1,0,389.03
0,0,0,0,1,0,0,1,1,0,1,1,0,1,396.22
1,1,0,0,0,1,1,1,1,1,1,0,0,0,398.23
0,1,0,1,1,1,0,1,0,1,0,0,0,1,394.24
1,0,0,1,0,0,0,1,0,0,1,1,0,0,399.96
0,0,0,1,1,0,1,1,1,0,1,1,0,1,400.1
1,1,0,1,0,0,1,0,0,1,1,0,1,0,392.65
0,0,0,1,0,1,0,1,1,0,1,1,0,1,398.56
1,1,1,0,0,1,1,1,1,1,0,1,1,0,396.78
0,1,0,0,0,1,1,1,0,1,1,0,1,0,389.93
1,1,0,0,0,0,1,1,1,1,1,1,0,1,403.12
1,0,0,1,1,1,1,1,1,0,0,0,1,1,387.25
1,1,0,0,1,0,0,0,0,1,0,0,1,1,387.26
1,0,0,1,1,1,1,1,1,1,1,1,0,1,395.69
1,1,0,0,0,1,0,0,1,1,1,0,1,1,389.33
1,0,1,1,1,0,1,0,0,0,0,1,1,1,397.78
1,1,1,1,1,1,0,0,0,1,1,0,0,0,395.79
0,1,1,1,1,1,0,0,0,1,0,1,1,1,401.44
0,0,1,1,1,1,1,1,1,0,0,0,1,0,388.79
1,0,1,1,1,1,0,1,0,1,1,0,1,0,388.62
0,1,0,1,1,0,0,1,1,0,0,1,0,0,401.25
1,1,0,0,0,1,1,1,1,0,0,0,0,1,392.7
0,0,0,1,1,1,0,1,0,1,0,1,0,1,394.42
