SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync.2
0,0,1,0,0,0,1,1,1,0,1,1,1,1,2969.5
0,1,0,0,1,0,0,1,1,0,1,1,0,1,2955.4
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2970.9
1,1,0,0,1,0,1,1,0,1,1,0,0,1,2940.5
1,0,1,1,1,1,0,1,1,1,1,1,1,1,2962.7
0,0,1,1,1,0,1,0,1,1,1,1,1,0,2966.7
0,1,0,1,1,1,1,1,1,0,1,0,1,1,2948.4
0,0,0,0,0,1,1,0,1,1,1,0,1,0,2944.8
1,0,0,0,0,0,1,1,0,1,1,0,1,0,2952.5
0,0,0,1,0,0,0,0,0,1,0,0,1,1,2939.9
1,1,0,1,0,0,1,1,1,0,0,1,1,1,2957.9
1,0,0,0,1,1,1,1,0,0,0,1,0,1,2954.8
1,0,1,0,1,0,1,1,0,1,0,1,0,0,2950.4
1,0,1,0,1,1,0,1,0,1,1,1,0,1,2955.9
1,0,1,1,0,0,0,0,1,1,1,1,1,0,2964.8
0,0,1,0,1,1,1,0,0,0,0,0,1,0,2947.5
0,1,0,1,1,1,1,1,1,1,1,0,1,0,2961.6
0,1,0,1,0,0,0,0,0,0,1,0,1,0,2957.8
1,0,0,1,0,0,1,1,0,1,1,1,0,1,2967.3
0,1,0,0,0,0,0,0,1,1,0,0,0,1,2960.0
0,0,1,0,0,1,1,0,1,1,1,1,0,0,2962.8
1,0,1,1,0,1,1,1,1,0,0,0,1,1,2967.8
0,1,0,0,1,1,1,1,0,0,0,1,1,0,2933.8
1,1,0,0,0,0,0,1,1,1,0,1,0,0,2953.7
0,0,1,1,0,1,1,1,0,0,0,1,1,0,2990.6
1,0,1,0,0,0,1,1,1,0,1,0,0,1,2934.4
0,1,1,0,0,1,0,0,0,1,1,0,0,1,2955.5
1,1,0,0,0,0,0,0,0,0,0,1,1,1,2945.7
1,0,0,1,0,1,0,0,1,0,1,1,0,0,2955.4
1,1,1,0,1,0,1,1,0,1,0,0,0,1,2954.5
1,1,0,0,1,1,0,1,0,0,0,1,1,1,2943.7
1,0,1,1,0,1,1,1,1,1,0,1,0,1,2930.3
0,0,0,0,1,0,1,1,1,0,1,0,0,1,2936.6
0,1,1,1,0,1,0,1,0,1,1,1,0,1,2958.7
0,0,1,0,1,1,0,0,0,0,0,1,1,1,2956.1
0,1,0,1,0,1,0,0,1,0,1,1,1,1,2949.6
0,1,1,0,0,0,1,1,0,0,0,0,0,1,2941.3
0,1,1,1,1,0,1,0,0,0,0,0,0,1,2991.8
1,1,1,1,0,1,0,0,1,0,0,1,0,1,2956.7
1,0,1,0,0,1,0,1,1,0,1,1,0,0,2943.0
1,0,1,0,0,0,0,1,1,0,1,0,1,0,2950.8
0,1,1,0,0,1,0,0,1,0,1,0,1,1,2935.3
0,0,0,0,0,0,1,0,1,0,1,1,1,0,2951.8
0,0,1,0,1,1,1,0,1,0,0,1,0,0,2950.8
0,0,1,1,1,0,0,0,1,0,0,1,0,0,2953.0
1,0,1,1,1,0,0,1,0,0,1,1,1,0,2944.0
0,0,1,0,1,1,0,1,0,1,0,0,1,1,2951.0
1,1,0,0,1,0,0,1,1,1,1,0,1,1,2919.8
1,1,0,0,1,1,0,1,0,0,0,1,0,1,2957.4
1,0,1,1,0,0,0,0,0,1,0,0,1,0,2951.1
1,1,0,0,0,1,0,0,1,1,0,0,1,0,2949.1
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2940.0
1,0,0,1,0,1,0,0,0,0,1,0,0,1,2952.0
1,1,1,0,0,1,0,1,1,0,0,0,1,0,2946.0
1,0,0,1,0,1,1,0,1,1,1,1,1,1,2961.5
1,1,0,1,1,0,1,1,1,1,1,1,1,0,2954.1
1,0,0,1,1,1,1,1,0,1,1,0,0,1,2964.6
0,0,1,0,1,1,0,0,0,1,0,0,1,0,2933.5
1,1,1,1,0,0,0,1,0,0,0,0,0,0,2929.9
1,1,1,1,0,0,1,1,0,0,0,0,0,1,2923.3
0,1,1,0,0,0,1,1,1,1,0,1,0,1,2958.8
0,0,0,1,1,0,1,0,0,0,0,1,1,0,2957.8
0,1,0,1,1,0,1,0,1,0,0,0,1,0,2932.4
0,0,0,0,1,0,0,1,1,0,1,1,0,1,2942.4
1,1,0,0,0,1,1,1,1,1,1,0,0,0,2958.0
0,1,0,1,1,1,0,1,0,1,0,0,0,1,2964.3
1,0,0,1,0,0,0,1,0,0,1,1,0,0,2946.3
0,0,0,1,1,0,1,1,1,0,1,1,0,1,2953.2
1,1,0,1,0,0,1,0,0,1,1,0,1,0,2951.8
0,0,0,1,0,1,0,1,1,0,1,1,0,1,2969.0
1,1,1,0,0,1,1,1,1,1,0,1,1,0,2956.4
0,1,0,0,0,1,1,1,0,1,1,0,1,0,2994.3
1,1,0,0,0,0,1,1,1,1,1,1,0,1,2966.2
1,0,0,1,1,1,1,1,1,0,0,0,1,1,2928.3
1,1,0,0,1,0,0,0,0,1,0,0,1,1,2945.9
1,0,0,1,1,1,1,1,1,1,1,1,0,1,2979.6
1,1,0,0,0,1,0,0,1,1,1,0,1,1,2950.7
1,0,1,1,1,0,1,0,0,0,0,1,1,1,2946.6
