SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.2
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.19627749577
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.0685279187817
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.388324873096
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.250423011844
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.47461928934
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.185279187817
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.485617597293
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.109983079526
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.917089678511
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.238578680203
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.457698815567
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.266497461929
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.504230118443
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.447546531303
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0947546531303
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.546531302876
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.491539763113
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.0642978003384
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.408629441624
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.511844331641
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.118443316413
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.24027072758
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.489001692047
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.223350253807
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.210659898477
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.450084602369
0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.458544839255
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0.0702199661591
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0.136209813875
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.428087986464
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0.425549915398
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.346869712352
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.137055837563
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.186971235195
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.0972927241963
0,0,0,1,0,1,1,0,1,1,0,0,0,1,0.537225042301
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.473773265651
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.0786802030457
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.0642978003384
1,1,0,1,1,1,1,0,0,0,1,0,1,1,0.24027072758
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0.393401015228
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0.654822335025
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.187817258883
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0.5820642978
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0.0871404399323
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0.0964467005076
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.0998307952623
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.0939086294416
