topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
2,10,2,10,10,0,1,10,1024,100,2,0,6363.916666666667
4,10,2,1000000,1,0,1,1000,1024,10000,5,0,852.08333333333337
2,10,2,1000000,1,0,1000,10,1024,100,2,0,9875.25
2,10,2,10,10,1,1,1000,1024,10000,2,29,6481.916666666667
4,1,2,1000000,1,1,1,1000,512,10000,2,0,880.0
2,1,4,1000000,1,1,1000,10,512,100,2,29,9211.5
2,1,2,1000000,1,1,1000,10,512,100,2,0,9621.5833333333339
2,10,4,10,1,1,1000,10,512,100,5,0,9146.3333333333339
4,10,2,10,1,0,1,10,1024,100,2,0,886.91666666666663
2,10,4,10,1,0,1,10,512,100,5,29,897.58333333333337
4,10,2,1000000,1,1,1,1000,512,10000,5,29,870.25
4,1,2,10,1,0,1,1000,1024,10000,2,29,882.83333333333337
2,10,4,1000000,10,1,1000,10,512,100,2,0,7796.083333333333
2,1,4,1000000,10,1,1,1000,512,10000,5,29,6225.0
2,10,4,10,1,1,1,10,512,100,2,0,903.75
2,1,4,1000000,10,1,1000,10,1024,100,2,29,7844.083333333333
4,10,2,1000000,10,1,1000,1000,1024,10000,2,29,6014.833333333333
4,10,2,10,10,1,1,10,512,100,5,0,4152.666666666667
2,10,4,10,10,1,1,1000,512,10000,5,0,6185.416666666667
2,1,4,1000000,10,1,1000,1000,512,10000,5,29,7984.166666666667
4,10,2,1000000,10,0,1,1000,1024,10000,2,0,4072.5
2,1,4,10,1,0,1000,1000,512,10000,2,29,9175.8333333333339
4,10,4,10,1,1,1000,10,512,100,2,0,6335.5
4,1,2,1000000,10,1,1,1000,1024,10000,2,29,4144.0
2,10,4,10,10,1,1000,10,1024,100,2,0,8279.8333333333339
4,10,4,10,10,1,1,1000,1024,10000,2,29,3085.9166666666665
2,1,4,10,10,0,1,10,512,100,2,0,6214.833333333333
4,1,4,10,1,0,1,10,512,100,5,29,903.16666666666663
4,1,4,10,1,1,1000,10,512,100,5,29,6323.0
4,1,2,10,1,1,1,10,512,100,5,29,870.66666666666663
2,10,2,1000000,10,1,1000,10,512,100,2,0,8722.75
4,10,4,10,10,1,1000,1000,512,10000,5,0,3561.3333333333335
4,10,2,1000000,10,0,1000,10,1024,100,5,29,5719.333333333333
4,1,2,1000000,1,1,1,1000,1024,10000,5,0,875.41666666666663
2,10,2,10,1,0,1,10,1024,100,5,29,905.33333333333337
4,10,4,1000000,10,0,1,1000,1024,10000,5,29,3065.3333333333335
