SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.2
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.586625468991
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.12337232399
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.2877951887
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.0260428161554
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.642904436107
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.607812844847
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.553299492386
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.206576914588
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.58287353785
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.248951666299
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.47517104392
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.21761200618
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.126020745972
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.718384462591
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.545574928272
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.223570955639
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.100198631649
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0951224895167
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.270359743986
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.248730964467
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.0571617744427
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.781063782829
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.235268152726
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.162877951887
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.595232840433
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.209666740234
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.0880600308983
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.0849702052527
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.662767600971
0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.646656367248
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0.473626131097
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0.514676671816
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.18384462591
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0.630986537188
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.159346722578
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.118958287354
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.54535422644
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.17898918561
0,0,0,1,0,1,1,0,1,1,0,0,0,1,0.267711322004
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.19708673582
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.0465680865151
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.489075259325
1,1,0,1,1,1,1,0,0,0,1,0,1,1,0.0551754579563
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0.730964467005
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0.673802692562
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.137055837563
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0.841094681086
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0.099757227985
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0.469653498124
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.542705804458
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.558154932686
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0.30589273891
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.635841977488
0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.715956742441
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.0372986095785
0,0,0,0,0,1,1,0,1,1,1,0,1,0,0.266828514677
