SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite
0,1,1,0,0,1,0,0,0,1,1,0,0,1,21.522
1,1,0,0,0,0,0,0,0,0,0,1,1,1,25.384
1,0,0,1,0,1,0,0,1,0,1,1,0,0,24.976
1,1,1,0,1,0,1,1,0,1,0,0,0,1,21.994
1,1,0,0,1,1,0,1,0,0,0,1,1,1,24.731
1,0,1,1,0,1,1,1,1,1,0,1,0,1,25.312
0,0,0,0,1,0,1,1,1,0,1,0,0,1,22.469
0,1,1,1,0,1,0,1,0,1,1,1,0,1,24.729
0,0,1,0,1,1,0,0,0,0,0,1,1,1,24.407
0,1,0,1,0,1,0,0,1,0,1,1,1,1,24.495
0,1,1,0,0,0,1,1,0,0,0,0,0,1,21.366
0,1,1,1,1,0,1,0,0,0,0,0,0,1,21.652
1,1,1,1,0,1,0,0,1,0,0,1,0,1,24.664
1,0,1,0,0,1,0,1,1,0,1,1,0,0,25.342
1,0,1,0,0,0,0,1,1,0,1,0,1,0,21.548
0,1,1,0,0,1,0,0,1,0,1,0,1,1,21.268
0,0,0,0,0,0,1,0,1,0,1,1,1,0,24.757
0,0,1,0,1,1,1,0,1,0,0,1,0,0,25.121
0,0,1,1,1,0,0,0,1,0,0,1,0,0,24.352
1,0,1,1,1,0,0,1,0,0,1,1,1,0,24.789
0,0,1,0,1,1,0,1,0,1,0,0,1,1,21.457
1,1,0,0,1,0,0,1,1,1,1,0,1,1,22.131
1,1,0,0,1,1,0,1,0,0,0,1,0,1,24.629
1,0,1,1,0,0,0,0,0,1,0,0,1,0,21.483
1,1,0,0,0,1,0,0,1,1,0,0,1,0,21.714
0,1,0,1,1,0,0,0,0,0,0,1,1,0,24.609
1,0,0,1,0,1,0,0,0,0,1,0,0,1,21.411
1,1,1,0,0,1,0,1,1,0,0,0,1,0,21.686
1,0,0,1,0,1,1,0,1,1,1,1,1,1,24.621
1,1,0,1,1,0,1,1,1,1,1,1,1,0,24.849
1,0,0,1,1,1,1,1,0,1,1,0,0,1,21.934
0,0,1,0,1,1,0,0,0,1,0,0,1,0,21.217
1,1,1,1,0,0,0,1,0,0,0,0,0,0,21.701
1,1,1,1,0,0,1,1,0,0,0,0,0,1,22.066
0,1,1,0,0,0,1,1,1,1,0,1,0,1,25.116
0,0,0,1,1,0,1,0,0,0,0,1,1,0,25.251
0,1,0,1,1,0,1,0,1,0,0,0,1,0,21.406
0,0,0,0,1,0,0,1,1,0,1,1,0,1,24.748
1,1,0,0,0,1,1,1,1,1,1,0,0,0,21.764
0,1,0,1,1,1,0,1,0,1,0,0,0,1,21.586
1,0,0,1,0,0,0,1,0,0,1,1,0,0,25.27
0,0,0,1,1,0,1,1,1,0,1,1,0,1,24.667
1,1,0,1,0,0,1,0,0,1,1,0,1,0,21.457
0,0,0,1,0,1,0,1,1,0,1,1,0,1,24.816
1,1,1,0,0,1,1,1,1,1,0,1,1,0,25.028
0,1,0,0,0,1,1,1,0,1,1,0,1,0,21.321
1,1,0,0,0,0,1,1,1,1,1,1,0,1,24.887
1,0,0,1,1,1,1,1,1,0,0,0,1,1,21.442
1,1,0,0,1,0,0,0,0,1,0,0,1,1,21.789
1,0,0,1,1,1,1,1,1,1,1,1,0,1,25.312
1,1,0,0,0,1,0,0,1,1,1,0,1,1,21.372
1,0,1,1,1,0,1,0,0,0,0,1,1,1,24.246
