SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync
0,1,1,1,1,1,0,0,0,1,0,1,1,1,2577.7
0,0,1,1,1,1,1,1,1,0,0,0,1,0,2564.3
1,0,1,1,1,1,0,1,0,1,1,0,1,0,2585.5
0,1,0,1,1,0,0,1,1,0,0,1,0,0,2550.0
1,1,0,0,0,1,1,1,1,0,0,0,0,1,2578.2
0,0,0,1,1,1,0,1,0,1,0,1,0,1,2560.5
0,1,1,1,0,0,1,1,1,1,1,0,0,1,2558.4
1,1,1,1,1,1,1,1,1,1,1,1,0,1,2570.5
1,1,0,1,1,1,0,0,1,1,1,0,0,0,2589.6
0,1,0,1,0,0,1,1,0,1,0,0,0,1,2545.6
0,0,1,0,0,0,1,0,0,0,0,1,0,1,2588.1
0,1,0,0,1,0,0,1,0,1,0,1,1,0,2567.4
0,0,1,0,1,1,1,1,0,0,0,0,1,1,2550.2
0,0,0,0,0,0,0,0,1,1,0,0,0,0,2580.8
0,0,0,0,0,0,1,1,1,1,0,0,1,0,2557.7
1,1,1,1,1,0,1,0,1,0,1,0,0,0,2575.1
0,0,1,0,1,1,0,1,0,0,0,0,1,1,2554.5
0,0,1,0,0,1,0,0,1,0,0,1,1,0,2557.8
1,0,0,0,1,0,0,1,1,0,1,1,1,0,2577.0
1,0,0,1,1,0,0,0,0,0,1,0,0,1,2563.9
0,0,0,1,0,1,1,0,0,1,0,0,0,0,2586.9
0,1,1,1,0,0,0,0,0,1,0,1,0,0,2587.2
0,1,1,1,1,0,1,1,1,0,1,0,1,0,2572.0
1,0,1,0,0,1,1,0,0,0,0,0,0,0,2576.6
1,0,0,0,1,0,0,1,1,1,0,1,1,0,2568.5
0,1,1,0,0,0,1,0,0,0,1,1,0,1,2574.2
1,0,1,0,1,1,1,0,0,1,1,0,0,0,2552.4
1,0,0,1,0,0,1,0,0,1,1,1,0,1,2570.8
1,0,0,0,0,0,1,1,1,0,1,0,1,0,2551.5
1,1,0,0,0,0,0,1,0,0,1,1,1,0,2561.0
0,1,1,1,0,0,1,1,0,1,1,1,1,0,2579.8
1,1,0,1,1,0,0,1,0,0,1,1,0,0,2592.2
1,1,0,1,0,0,1,0,0,1,1,1,1,1,2573.5
0,1,0,0,0,1,0,1,0,1,1,1,1,0,2581.3
0,1,1,1,1,0,0,1,0,1,1,0,1,1,2553.1
0,0,0,0,0,0,1,0,1,0,1,0,1,1,2562.9
0,1,1,1,1,0,0,0,1,0,0,0,0,0,2583.6
0,1,1,1,1,1,1,1,0,0,1,0,1,1,2573.8
0,1,0,0,1,0,0,1,0,1,0,0,1,1,2561.6
1,0,1,0,0,0,0,1,0,0,1,1,0,0,2568.3
1,1,0,0,1,0,0,1,0,0,0,0,1,0,2559.2
0,1,0,0,1,1,1,0,1,0,1,1,1,1,2592.0
