SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K
0,0,1,0,0,0,0,0,1,0,0,0,0,1,439.97
1,1,0,1,1,0,1,0,1,1,1,1,1,1,451.8
0,0,1,1,1,1,0,1,0,0,0,1,0,1,445.6
0,0,1,1,1,1,1,0,1,0,0,1,0,0,447.08
0,1,1,1,0,0,0,0,0,1,1,1,1,1,448.93
0,1,1,0,1,1,0,0,1,1,1,1,0,1,450.5
1,0,0,1,1,1,1,0,0,1,0,1,0,0,452.39
0,1,0,1,1,1,1,1,1,0,0,1,1,1,450.14
1,0,1,1,0,0,0,0,0,0,1,1,1,0,467.33
1,1,0,0,0,1,0,1,0,1,1,1,0,1,452.31
0,1,0,0,0,0,0,1,1,0,0,0,0,1,443.39
0,1,1,0,1,0,1,0,0,0,0,1,1,1,444.45
1,0,1,1,0,0,0,0,1,1,1,0,0,0,447.4
1,1,1,0,1,1,0,1,1,0,0,1,0,1,451.59
0,1,1,1,1,1,1,0,0,1,0,0,0,0,443.93
1,0,1,0,1,1,0,1,1,1,1,1,1,0,453.73
0,0,1,0,1,0,0,1,1,0,0,1,0,0,442.51
1,0,0,1,1,1,0,1,0,1,0,0,1,0,447.6
1,0,1,1,1,0,0,0,1,0,0,1,0,1,457.33
1,0,0,0,1,1,1,1,1,1,1,1,0,0,450.62
0,0,0,0,1,0,0,1,0,0,0,0,1,0,439.14
0,1,1,0,0,0,1,0,0,1,1,1,1,1,452.7
0,1,1,1,0,1,1,0,1,1,0,1,0,0,443.96
0,0,0,0,1,1,1,1,1,0,0,1,1,1,447.41
1,1,1,0,0,1,1,0,1,0,0,1,1,1,449.4
0,1,1,0,0,1,1,0,1,0,0,0,0,0,452.29
1,1,1,0,0,1,0,1,1,1,1,0,1,0,446.86
0,1,1,1,0,1,0,0,1,0,0,0,1,0,446.24
1,1,1,1,0,1,0,0,1,0,1,1,1,1,456.19
1,1,1,0,1,0,1,1,0,1,1,1,0,0,448.37
1,1,0,1,0,0,1,0,0,0,0,1,0,0,444.54
1,1,0,0,1,0,0,0,1,1,1,0,1,1,452.68
1,1,0,0,0,1,0,1,0,0,0,1,0,0,451.7
0,1,0,1,1,1,1,0,0,1,1,0,0,0,441.2
0,1,0,0,1,1,0,0,0,0,0,1,1,1,451.59
0,0,1,0,1,1,1,1,0,1,0,0,1,0,446.44
0,0,0,0,0,1,1,1,1,0,1,0,1,1,444.26
0,1,1,1,1,1,0,0,0,1,0,1,0,1,448.01
1,1,1,1,1,0,1,0,1,0,0,1,1,1,446.08
0,1,1,1,0,1,1,0,0,1,1,0,1,1,440.09
0,0,0,0,0,0,1,0,1,0,1,0,0,0,443.22
0,0,0,1,0,0,0,0,1,0,1,0,0,1,440.34
0,1,0,0,0,0,0,0,0,1,1,0,1,1,442.24
1,1,0,0,1,1,1,1,1,1,1,0,0,1,441.77
0,1,0,1,0,0,1,0,1,0,0,0,1,0,450.26
1,1,1,1,0,0,1,0,0,1,1,1,0,1,445.56
1,1,0,1,0,0,0,0,0,1,1,0,1,0,450.12
1,0,0,1,1,1,1,1,0,0,0,0,0,1,445.27
0,0,0,1,0,1,1,1,1,0,0,1,0,1,449.03
1,1,0,0,0,0,1,0,1,1,0,0,1,0,441.96
0,0,0,1,1,1,0,1,1,0,1,0,1,0,443.43
1,1,0,0,1,1,1,1,0,0,1,0,1,1,443.96
0,1,0,1,0,1,0,1,1,1,0,1,0,1,450.25
0,0,1,1,1,0,0,0,0,1,1,1,1,1,450.75
1,0,0,0,1,0,1,1,1,0,0,1,1,0,448.78
0,0,1,1,1,1,1,1,0,0,1,1,0,1,447.96
0,0,1,1,0,0,1,1,1,1,1,0,1,1,449.42
0,1,0,0,1,1,1,0,0,1,1,1,1,1,455.79
1,0,1,0,1,1,0,1,1,0,0,0,0,1,449.5
0,1,1,0,1,0,1,1,0,0,0,0,0,0,444.33
1,0,0,0,0,0,1,1,0,0,0,1,1,0,448.25
1,1,1,1,1,1,1,0,1,0,1,0,0,0,449.26
0,0,0,1,0,1,1,0,1,1,0,0,0,1,446.78
1,0,0,1,1,0,0,1,0,1,1,0,0,0,441.71
1,0,0,1,0,0,1,0,0,0,1,0,1,0,444.19
1,1,1,0,0,1,0,0,0,0,0,1,1,0,450.89
1,1,0,1,1,1,1,0,0,0,1,0,1,1,446.46
1,0,1,1,0,1,0,1,0,1,1,1,1,0,451.73
1,0,1,1,1,0,0,0,1,1,1,1,1,0,453.96
1,0,1,0,0,1,0,0,1,0,1,0,0,0,442.14
0,0,1,0,0,0,1,1,1,1,0,1,1,1,443.29
0,1,1,1,0,1,0,1,1,0,0,0,0,0,443.29
0,0,1,0,0,0,1,1,1,0,1,1,1,1,444.9
0,1,0,0,1,0,0,1,1,0,1,1,0,1,446.06
1,1,1,1,0,1,1,0,1,0,1,1,1,0,455.1
1,1,0,0,1,0,1,1,0,1,1,0,0,1,445.63
1,0,1,1,1,1,0,1,1,1,1,1,1,1,447.13
0,0,1,1,1,0,1,0,1,1,1,1,1,0,445.56
0,1,0,1,1,1,1,1,1,0,1,0,1,1,441.15
0,0,0,0,0,1,1,0,1,1,1,0,1,0,443.59
1,0,0,0,0,0,1,1,0,1,1,0,1,0,448.1
0,0,0,1,0,0,0,0,0,1,0,0,1,1,441.85
1,1,0,1,0,0,1,1,1,0,0,1,1,1,446.53
1,0,0,0,1,1,1,1,0,0,0,1,0,1,446.86
1,0,1,0,1,0,1,1,0,1,0,1,0,0,447.74
1,0,1,0,1,1,0,1,0,1,1,1,0,1,452.31
1,0,1,1,0,0,0,0,1,1,1,1,1,0,463.38
0,0,1,0,1,1,1,0,0,0,0,0,1,0,441.57
0,1,0,1,1,1,1,1,1,1,1,0,1,0,446.17
0,1,0,1,0,0,0,0,0,0,1,0,1,0,449.33
1,0,0,1,0,0,1,1,0,1,1,1,0,1,448.52
0,1,0,0,0,0,0,0,1,1,0,0,0,1,443.84
0,0,1,0,0,1,1,0,1,1,1,1,0,0,446.62
1,0,1,1,0,1,1,1,1,0,0,0,1,1,445.83
0,1,0,0,1,1,1,1,0,0,0,1,1,0,449.91
1,1,0,0,0,0,0,1,1,1,0,1,0,0,445.54
0,0,1,1,0,1,1,1,0,0,0,1,1,0,441.68
1,0,1,0,0,0,1,1,1,0,1,0,0,1,445.1
0,1,1,0,0,1,0,0,0,1,1,0,0,1,442.32
1,1,0,0,0,0,0,0,0,0,0,1,1,1,454.47
1,0,0,1,0,1,0,0,1,0,1,1,0,0,444.93
1,1,1,0,1,0,1,1,0,1,0,0,0,1,452.74
1,1,0,0,1,1,0,1,0,0,0,1,1,1,445.19
1,0,1,1,0,1,1,1,1,1,0,1,0,1,446.02
0,0,0,0,1,0,1,1,1,0,1,0,0,1,444.88
0,1,1,1,0,1,0,1,0,1,1,1,0,1,443.93
0,0,1,0,1,1,0,0,0,0,0,1,1,1,447.48
0,1,0,1,0,1,0,0,1,0,1,1,1,1,450.44
0,1,1,0,0,0,1,1,0,0,0,0,0,1,443.81
0,1,1,1,1,0,1,0,0,0,0,0,0,1,448.04
1,1,1,1,0,1,0,0,1,0,0,1,0,1,451.0
1,0,1,0,0,1,0,1,1,0,1,1,0,0,452.34
1,0,1,0,0,0,0,1,1,0,1,0,1,0,445.82
0,1,1,0,0,1,0,0,1,0,1,0,1,1,442.51
0,0,0,0,0,0,1,0,1,0,1,1,1,0,448.6
0,0,1,0,1,1,1,0,1,0,0,1,0,0,444.37
0,0,1,1,1,0,0,0,1,0,0,1,0,0,450.31
1,0,1,1,1,0,0,1,0,0,1,1,1,0,452.8
0,0,1,0,1,1,0,1,0,1,0,0,1,1,441.36
1,1,0,0,1,0,0,1,1,1,1,0,1,1,442.8
1,1,0,0,1,1,0,1,0,0,0,1,0,1,452.68
1,0,1,1,0,0,0,0,0,1,0,0,1,0,443.74
1,1,0,0,0,1,0,0,1,1,0,0,1,0,444.94
0,1,0,1,1,0,0,0,0,0,0,1,1,0,443.23
1,0,0,1,0,1,0,0,0,0,1,0,0,1,456.69
1,1,1,0,0,1,0,1,1,0,0,0,1,0,443.95
1,0,0,1,0,1,1,0,1,1,1,1,1,1,449.05
1,1,0,1,1,0,1,1,1,1,1,1,1,0,445.64
1,0,0,1,1,1,1,1,0,1,1,0,0,1,460.06
0,0,1,0,1,1,0,0,0,1,0,0,1,0,445.62
1,1,1,1,0,0,0,1,0,0,0,0,0,0,451.39
1,1,1,1,0,0,1,1,0,0,0,0,0,1,452.82
0,1,1,0,0,0,1,1,1,1,0,1,0,1,453.75
0,0,0,1,1,0,1,0,0,0,0,1,1,0,458.46
0,1,0,1,1,0,1,0,1,0,0,0,1,0,448.18
0,0,0,0,1,0,0,1,1,0,1,1,0,1,442.45
1,1,0,0,0,1,1,1,1,1,1,0,0,0,443.17
0,1,0,1,1,1,0,1,0,1,0,0,0,1,444.22
1,0,0,1,0,0,0,1,0,0,1,1,0,0,446.58
0,0,0,1,1,0,1,1,1,0,1,1,0,1,445.68
1,1,0,1,0,0,1,0,0,1,1,0,1,0,442.8
0,0,0,1,0,1,0,1,1,0,1,1,0,1,449.07
1,1,1,0,0,1,1,1,1,1,0,1,1,0,448.29
0,1,0,0,0,1,1,1,0,1,1,0,1,0,448.23
1,1,0,0,0,0,1,1,1,1,1,1,0,1,446.01
1,0,0,1,1,1,1,1,1,0,0,0,1,1,441.07
1,1,0,0,1,0,0,0,0,1,0,0,1,1,454.54
1,0,0,1,1,1,1,1,1,1,1,1,0,1,452.99
1,1,0,0,0,1,0,0,1,1,1,0,1,1,446.21
1,0,1,1,1,0,1,0,0,0,0,1,1,1,449.96
1,1,1,1,1,1,0,0,0,1,1,0,0,0,445.84
0,1,1,1,1,1,0,0,0,1,0,1,1,1,451.3
0,0,1,1,1,1,1,1,1,0,0,0,1,0,445.19
1,0,1,1,1,1,0,1,0,1,1,0,1,0,451.86
0,1,0,1,1,0,0,1,1,0,0,1,0,0,449.68
1,1,0,0,0,1,1,1,1,0,0,0,0,1,446.45
0,0,0,1,1,1,0,1,0,1,0,1,0,1,448.37
0,1,1,1,0,0,1,1,1,1,1,0,0,1,456.61
1,1,1,1,1,1,1,1,1,1,1,1,0,1,449.31
1,1,0,1,1,1,0,0,1,1,1,0,0,0,444.63
0,1,0,1,0,0,1,1,0,1,0,0,0,1,445.44
0,0,1,0,0,0,1,0,0,0,0,1,0,1,451.32
0,1,0,0,1,0,0,1,0,1,0,1,1,0,444.29
0,0,1,0,1,1,1,1,0,0,0,0,1,1,452.24
0,0,0,0,0,0,0,0,1,1,0,0,0,0,451.56
0,0,0,0,0,0,1,1,1,1,0,0,1,0,447.86
1,1,1,1,1,0,1,0,1,0,1,0,0,0,443.41
0,0,1,0,1,1,0,1,0,0,0,0,1,1,441.66
0,0,1,0,0,1,0,0,1,0,0,1,1,0,443.03
1,0,0,0,1,0,0,1,1,0,1,1,1,0,443.54
1,0,0,1,1,0,0,0,0,0,1,0,0,1,462.07
0,0,0,1,0,1,1,0,0,1,0,0,0,0,448.11
0,1,1,1,0,0,0,0,0,1,0,1,0,0,445.65
0,1,1,1,1,0,1,1,1,0,1,0,1,0,440.56
1,0,1,0,0,1,1,0,0,0,0,0,0,0,444.42
1,0,0,0,1,0,0,1,1,1,0,1,1,0,446.38
0,1,1,0,0,0,1,0,0,0,1,1,0,1,442.62
1,0,1,0,1,1,1,0,0,1,1,0,0,0,448.34
1,0,0,1,0,0,1,0,0,1,1,1,0,1,447.45
1,0,0,0,0,0,1,1,1,0,1,0,1,0,449.62
1,1,0,0,0,0,0,1,0,0,1,1,1,0,454.11
0,1,1,1,0,0,1,1,0,1,1,1,1,0,450.3
1,1,0,1,1,0,0,1,0,0,1,1,0,0,444.26
1,1,0,1,0,0,1,0,0,1,1,1,1,1,456.98
0,1,0,0,0,1,0,1,0,1,1,1,1,0,450.45
0,1,1,1,1,0,0,1,0,1,1,0,1,1,441.85
0,0,0,0,0,0,1,0,1,0,1,0,1,1,452.78
0,1,1,1,1,0,0,0,1,0,0,0,0,0,443.36
0,1,1,1,1,1,1,1,0,0,1,0,1,1,439.55
0,1,0,0,1,0,0,1,0,1,0,0,1,1,442.52
1,0,1,0,0,0,0,1,0,0,1,1,0,0,445.69
1,1,0,0,1,0,0,1,0,0,0,0,1,0,443.66
0,1,0,0,1,1,1,0,1,0,1,1,1,1,453.01
